series,n_tickers,n_snapshots,two_sided_pct,med_spread_c,med_bid_sz,med_ask_sz,avg_std_mid_c,toxicity_pct,total_vol_24h,total_oi,score
KXWNBAGAME,6,698,100.0,1.0,157.5,511.7,3.24,1.1,10939,10669,0.0
KXCFLTOTAL,5,698,100.0,85.0,100.0,10.0,0.18,0.0,0,0,0.0
KXWTAMATCH,4,698,100.0,1.0,3523.8,15374.8,0.24,0.0,15507,15209,0.0
KXWTI,15,698,94.5,1.0,500.0,300.0,1.24,0.3,6363,5616,0.0
KXLOVEISLMENTION,18,695,9.6,1.0,498098.5,0.0,0.0,0.0,436414,407143,0.0
KXHORMUZMAX,7,698,100.0,1.0,1071.0,327.0,0.0,0.0,0,0,0.0
KXRT,44,698,100.0,1.0,1150.6,1648.0,0.39,0.1,41828,36226,0.0
KXVOTEPRIMARY,4,698,100.0,1.0,1544.0,1318.0,0.0,0.0,756,756,0.0
KXCPINDEX,20,698,80.0,1.0,303.0,336.0,2.87,0.6,37474,25395,0.0
KXCLAUDE,4,698,100.0,1.0,284.9,1172.0,0.28,0.0,983,717,0.0
KXKFTOUR,12,698,0.7,1.0,50.0,101.0,0.0,0.0,0,0,0.0
KXPLATNERDROPOUT,5,698,99.9,1.0,489.4,268.3,2.15,0.2,1218854,573707,0.0
KXWORLDNEWSMENTION,14,698,16.4,1.0,12224.5,0.0,1.28,1.2,286436,232457,0.0
KXSONGRELEASEDATE,5,698,100.0,1.0,1205.0,1758.6,0.49,0.2,1302,351,0.0
KXPPLMATCH,20,698,100.0,96.0,10.0,10.0,0.02,0.0,0,0,0.0
KXMESENATEPERSON,14,698,87.0,0.1,949.6,476.9,0.49,0.0,188087,138097,0.0
KXMEDNOMJUL,12,698,100.0,1.0,7662.3,4189.5,0.81,0.1,74559,62623,0.0
KXGRAMMYNOMSOTY,4,698,100.0,94.0,22.0,5.0,0.25,0.0,0,0,0.0
KXWT,8,698,100.0,85.0,500.0,133.0,1.12,1.3,0,0,0.0
KXHIGHMIA,6,698,88.4,1.0,94.8,92.0,1.18,0.4,42584,29980,0.0
KXLOWTDEN,6,698,96.1,1.0,5.0,23.0,4.32,1.9,6284,4610,0.0
KXHIGHDEN,6,698,83.3,1.0,19.1,9.0,2.08,0.4,16999,11806,0.0
KXHIGHPHIL,6,698,96.6,1.0,16.8,9.0,4.49,0.8,19419,15457,0.0
KXHIGHTLV,6,698,72.3,1.0,39.9,30.0,2.86,0.2,10164,7273,0.0
KXHIGHLAX,6,698,56.3,1.0,97.4,83.0,2.55,0.1,88119,67540,0.0
KXHIGHTNOLA,6,698,83.4,1.0,100.0,16.0,3.25,0.4,8633,6653,0.0
KXHIGHTSFO,6,698,98.7,1.0,15.0,12.0,2.86,0.4,16513,12051,0.0
KXHIGHTDC,6,698,100.0,1.0,31.0,10.0,2.7,0.5,10114,8199,0.0
KXHIGHTSEA,6,698,100.0,1.0,41.3,14.0,2.71,0.3,17537,12168,0.0
KXHIGHTBOS,6,698,75.7,1.0,12.0,11.0,3.23,0.6,23381,10122,0.0
KXHIGHTATL,6,698,96.2,1.0,115.0,31.0,3.22,0.5,20706,17916,0.0
KXWTIMAX,18,698,100.0,1.0,627.0,341.0,0.58,0.0,4619,3876,0.0
KXHIGHTDAL,6,698,95.5,1.0,62.4,13.0,3.12,0.6,13951,11147,0.0
KXHIGHTSATX,6,698,82.2,1.0,11.5,6.0,3.38,0.9,10024,8862,0.0
KXFEAR,15,698,100.0,1.0,2193.3,1381.0,0.02,0.0,3489,2951,0.0
KXNZNBLGAME,4,698,100.0,78.0,1000.0,10.0,1.36,0.1,0,0,0.0
KXHIGHTHOU,6,698,85.8,1.0,22.0,11.1,2.41,0.5,12732,10282,0.0
KXHIGHTOKC,6,698,96.9,1.0,29.1,7.0,2.75,0.3,7066,5050,0.0
KXLOWTNOLA,6,698,86.7,1.0,10.0,8.0,6.66,1.6,8822,7670,0.0
KXLOWTSEA,6,698,54.2,1.0,7.0,10.0,5.73,2.5,11325,10233,0.0
KXLOWTBOS,6,698,79.6,1.0,9.0,6.0,2.76,0.7,3686,2994,0.0
KXLOWTDAL,6,698,92.7,1.0,10.0,6.0,8.74,1.9,14713,8509,0.0
KXWTACHALLENGERMATCH,56,698,99.6,1.0,1001.0,2934.4,2.86,1.3,1892588,1239222,0.0
KXWC1H,6,698,100.0,1.0,1606.0,1600.6,0.52,0.1,10647,10702,0.0
KXCHNSLGAME,3,698,100.0,5.0,1500.0,773.0,0.36,0.0,0,0,0.0
KXURYPDGAME,3,698,100.0,4.0,1219.0,1200.0,0.16,0.0,0,0,0.0
KXNBASUMMERGAME,16,698,100.0,78.0,200.0,200.0,1.37,0.2,0,0,0.0
KXDOTA2MAP,4,698,100.0,5.0,208.0,226.0,1.86,0.5,0,0,0.0
KXLPGAR3LEAD,134,698,0.0,,,,,,0,0,
KXLPGAR2LEAD,134,698,0.0,,,,,,0,0,
KXNEXTTEAMNBA,6,3,25.0,10.0,250.0,260.0,,,2228,2060,
